year,month,value,date
1880,1,-0.33,188001
1880,2,-0.72,188002
1880,3,-0.79,188003
1880,4,-0.46,188004
1880,5,-0.27,188005
1880,6,-0.19,188006
1880,7,-0.34,188007
1880,8,-0.28,188008
1880,9,-0.5,188009
1880,10,-0.77,188010
1880,11,-0.96,188011
1880,12,-0.65,188012
1881,1,-0.62,188101
1881,2,-0.52,188102
1881,3,-0.25,188103
1881,4,-0.18,188104
1881,5,-0.12,188105
1881,6,-0.59,188106
1881,7,-0.38,188107
1881,8,-0.16,188108
1881,9,-0.48,188109
1881,10,-0.9,188110
1881,11,-1.02,188111
1881,12,-0.3,188112
1882,1,-0.01,188201
1882,2,-0.28,188202
1882,3,-0.28,188203
1882,4,-0.81,188204
1882,5,-0.62,188205
1882,6,-0.55,188206
1882,7,-0.53,188207
1882,8,-0.11,188208
1882,9,-0.34,188209
1882,10,-0.89,188210
1882,11,-0.61,188211
1882,12,-0.78,188212
1883,1,-1.28,188301
1883,2,-1.47,188302
1883,3,-0.72,188303
1883,4,-0.75,188304
1883,5,-0.59,188305
1883,6,-0.03,188306
1883,7,-0.38,188307
1883,8,-0.38,188308
1883,9,-0.54,188309
1883,10,-0.72,188310
1883,11,-0.89,188311
1883,12,-0.49,188312
1884,1,-0.6,188401
1884,2,-0.87,188402
1884,3,-0.97,188403
1884,4,-0.82,188404
1884,5,-0.62,188405
1884,6,-0.51,188406
1884,7,-0.73,188407
1884,8,-0.62,188408
1884,9,-0.78,188409
1884,10,-0.69,188410
1884,11,-0.91,188411
1884,12,-0.57,188412
1885,1,-1.47,188501
1885,2,-0.82,188502
1885,3,-0.57,188503
1885,4,-0.68,188504
1885,5,-0.63,188505
1885,6,-0.62,188506
1885,7,-0.53,188507
1885,8,-0.6,188508
1885,9,-0.52,188509
1885,10,-0.5,188510
1885,11,-0.29,188511
1885,12,0.19,188512
1886,1,-0.56,188601
1886,2,-1.06,188602
1886,3,-0.79,188603
1886,4,-0.4,188604
1886,5,-0.48,188605
1886,6,-0.49,188606
1886,7,-0.22,188607
1886,8,-0.39,188608
1886,9,-0.41,188609
1886,10,-0.8,188610
1886,11,-0.75,188611
1886,12,0.03,188612
1887,1,-1.17,188701
1887,2,-0.95,188702
1887,3,-0.35,188703
1887,4,-0.5,188704
1887,5,-0.24,188705
1887,6,-0.51,188706
1887,7,-0.38,188707
1887,8,-0.58,188708
1887,9,-0.26,188709
1887,10,-0.71,188710
1887,11,-0.31,188711
1887,12,-0.24,188712
1888,1,-0.84,188801
1888,2,-0.79,188802
1888,3,-0.83,188803
1888,4,-0.19,188804
1888,5,-0.47,188805
1888,6,-0.41,188806
1888,7,-0.24,188807
1888,8,-0.5,188808
1888,9,-0.32,188809
1888,10,-0.2,188810
1888,11,-0.45,188811
1888,12,-0.26,188812
1889,1,-0.67,188901
1889,2,-0.11,188902
1889,3,0.09,188903
1889,4,0.17,188904
1889,5,-0.33,188905
1889,6,-0.25,188906
1889,7,-0.25,188907
1889,8,-0.27,188908
1889,9,-0.46,188909
1889,10,-0.66,188910
1889,11,-0.9,188911
1889,12,-0.37,188912
1890,1,-0.72,189001
1890,2,-0.72,189002
1890,3,-0.62,189003
1890,4,-0.34,189004
1890,5,-0.78,189005
1890,6,-0.42,189006
1890,7,-0.22,189007
1890,8,-0.43,189008
1890,9,-0.53,189009
1890,10,-0.37,189010
1890,11,-0.94,189011
1890,12,-0.61,189012
1891,1,-0.87,189101
1891,2,-1.34,189102
1891,3,-0.39,189103
1891,4,-0.61,189104
1891,5,-0.47,189105
1891,6,-0.53,189106
1891,7,-0.36,189107
1891,8,-0.44,189108
1891,9,-0.26,189109
1891,10,-0.73,189110
1891,11,-0.91,189111
1891,12,0.06,189112
1892,1,-0.66,189201
1892,2,-0.38,189202
1892,3,-0.74,189203
1892,4,-0.76,189204
1892,5,-0.5,189205
1892,6,-0.3,189206
1892,7,-0.37,189207
1892,8,-0.4,189208
1892,9,-0.31,189209
1892,10,-0.28,189210
1892,11,-1.15,189211
1892,12,-0.81,189212
1893,1,-2,189301
1893,2,-1.72,189302
1893,3,-0.25,189303
1893,4,-0.54,189304
1893,5,-0.6,189305
1893,6,-0.33,189306
1893,7,-0.19,189307
1893,8,-0.41,189308
1893,9,-0.22,189309
1893,10,-0.34,189310
1893,11,-0.14,189311
1893,12,-0.35,189312
1894,1,-0.81,189401
1894,2,-0.13,189402
1894,3,-0.12,189403
1894,4,-0.66,189404
1894,5,-0.35,189405
1894,6,-0.51,189406
1894,7,-0.42,189407
1894,8,-0.41,189408
1894,9,-0.43,189409
1894,10,-0.51,189410
1894,11,-0.67,189411
1894,12,-0.4,189412
1895,1,-1.21,189501
1895,2,-0.99,189502
1895,3,-0.45,189503
1895,4,-0.09,189504
1895,5,-0.42,189505
1895,6,-0.4,189506
1895,7,-0.34,189507
1895,8,-0.42,189508
1895,9,-0.24,189509
1895,10,-0.26,189510
1895,11,-0.35,189511
1895,12,-0.24,189512
1896,1,-0.27,189601
1896,2,-0.28,189602
1896,3,-0.77,189603
